,name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
331,string.iterator.next.equations._eqn_2,305204,248033,138129,3,46862,46862,0
332,d_array.cases_on,648075,457620,267922,0,79913,-1,0
333,xor.decidable._proof_4,512099,243415,194240,0,49478,49478,0
334,exists_unique.elim,580698,378978,252037,0,65101,65101,0
335,monad_io_net_system.cases_on,-1,-1,-1,-1,-1,-1,200
336,acc.drec,836309,643118,329385,0,103615,103615,0
337,strict_weak_order.esymm,455878,202103,176808,0,43675,43675,0
338,implies.decidable,613113,323703,253076,0,66952,66952,0
339,true_iff,333924,110849,137558,0,29782,29782,0
340,is_incomp_trans.dcases_on,772540,559342,303980,0,93159,93159,0
341,is_cond_left_inv.drec_on,950407,837760,368705,0,126686,126686,0
342,assert,885621,667950,344841,0,113378,113378,0
343,int.coe_nat_one,79305,9353,33328,0,6119,6119,0
344,lift_fn_dom.equations._eqn_1,394539,129210,155208,0,36271,36271,0
345,has_one.mk.inj,761809,532366,303588,0,91377,-1,0
346,is_lawful_singleton.cases_on,915142,880955,357105,0,127967,-1,0
347,exists_unique_of_exists_of_unique,743054,689102,393592,0,135100,135100,0
348,nat.one_ne_zero,-1,-1,-1,-1,-1,-1,200
349,nat.zero_ne_one,-1,-1,-1,-1,-1,-1,200
350,expr.coord.app_fn.sizeof_spec,64484,7346,24899,0,4665,4665,0
351,eqv_gen.is_equivalence,786036,683485,312646,0,91668,91668,0
352,has_one.mk.inj_arrow,777543,570596,308191,0,94944,-1,0
353,has_neg.mk.inj,816209,623812,318446,0,102561,-1,0
354,d_array.read,762634,614590,308204,0,99803,-1,0
355,coe_fn_trans.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
356,has_lt.mk.inj,846708,570701,327757,0,109002,-1,0
357,state_t.monad_state,1170461,1504713,-1,-1,-1,-1,-1000
358,option_t.catch._match_1,913461,741206,351588,0,118702,118702,0
359,int.neg_succ_of_nat.inj,700641,456527,283627,0,82699,-1,0
360,monad_state_adapter.no_confusion_type,1035384,971339,391751,0,147747,147747,0
361,has_mod.mk.inj,850641,802767,330382,0,114693,-1,0
362,reader_t.monad_functor.equations._eqn_1,824052,610621,318684,0,103879,103879,0
363,imp_congr_ctx_eq,1020796,934923,387800,0,143471,143471,0
364,has_zero.no_confusion,990360,955257,374539,0,137422,-1,0
365,prod.mk.eta,857684,672387,332834,0,106031,-1,0
366,has_dvd.mk.inj,846708,856580,334478,0,117030,-1,0
367,feature_search.predictor_cfg.no_confusion,1091508,1041963,459364,0,189229,-1,0
368,io.net.listen,-1,-1,-1,-1,-1,-1,200
369,has_add.mk.inj,850641,938424,333113,0,115990,-1,0
370,string_imp.no_confusion,1030806,1205941,404161,2,173028,-1,-1000
371,except_t.bind_cont,1128837,1240934,482884,0,-1,-1,-1000
372,int.neg_succ_of_nat.inj_arrow,716141,469118,285860,0,82261,-1,0
373,nat.brec_on,1355593,1656496,-1,-1,-1,-1,-1000
374,guardb.equations._eqn_2,637536,303853,259922,0,71738,71738,0
375,has_subset.mk.inj_arrow,864592,872716,336557,0,117526,-1,0
376,cast_heq,-1,-1,-1,-1,-1,-1,-1000
377,prod.lex.drec_on,-1,-1,-1,-1,-1,-1,-1000
378,has_sizeof.no_confusion,1045108,1055277,397091,0,158964,-1,0
379,has_ssubset.no_confusion,1057120,1082394,452477,0,171820,-1,0
380,array.read,755527,566003,301807,0,96447,-1,0
381,io.mode.no_confusion,-1,-1,-1,-1,-1,-1,200
382,left_comm,918703,738125,354455,0,116345,116345,0
383,except_t.catch,-1,-1,-1,-1,-1,-1,-1000
384,interactive.loc.ns.inj,1025932,1283484,402394,3,-1,-1,-1000
385,eqv_gen.drec_on,-1,-1,-1,-1,-1,-1,-1000
386,has_coe_t.mk.inj_arrow,984523,954066,371806,0,143165,-1,0
387,when.equations._eqn_1,846502,646098,325830,1,111706,111706,0
388,nat.le_succ_of_pred_le,939180,841608,359256,0,129786,-1,0
389,list.binduction_on,-1,-1,-1,-1,-1,-1,-1000
390,vm_obj_kind.simple.sizeof_spec,64484,7500,26817,0,5044,5044,0
391,vm_obj_kind.declaration.sizeof_spec,64484,8089,27225,0,5254,5254,0
392,option_t.catch,-1,-1,-1,-1,-1,-1,-1000
393,feature_search.feature_cfg.no_confusion,-1,-1,-1,-1,-1,-1,-1000
394,io.net.send,-1,-1,-1,-1,-1,-1,200
395,int.neg_neg_of_nat_succ,83062,11102,37277,0,7073,7073,0
396,decidable.rec_on_true.equations._eqn_1,711593,474801,306924,0,86254,-1,0
397,int.neg_of_nat_of_succ,71277,8597,33179,0,6070,6070,0
398,has_lift.no_confusion,1237529,1488289,-1,-1,-1,-1,-1000
399,pprod.mk.inj,-1,-1,-1,-1,-1,-1,-1000
